gene	KO	Rescue	WT
gene_685	1260	2309	5201
gene_686	7	0	9
gene_687	1	0	0
gene_688	789	1794	4051
gene_689	76	123	356
gene_691	650	1356	2837
gene_692	319	447	1122
gene_693	1	0	0
gene_694	5	10	28
gene_702	4	8	42
gene_703	10	31	81
gene_704	17	25	40
gene_705	72	101	175
gene_707	0	4	9
gene_709	174	518	665
gene_710	1713	3519	7363
gene_711	2	1	9
gene_712	611	1051	2115
gene_713	391	747	1297
gene_714	40	78	131
gene_715	12	14	31
gene_716	2439	5673	13747
gene_717	58	167	285
gene_718	10	33	70
gene_719	1210	2884	6689
gene_720	12	31	51
gene_721	1041	1477	3047
gene_722	3	11	22
gene_723	1	2	4
gene_724	190	534	1164
gene_725	32	100	182
gene_727	1	3	3
gene_729	0	0	0
gene_730	3008	7276	12912
gene_731	0	0	0
gene_733	3272	6041	14346
gene_735	212	435	790
gene_736	971	2241	4647
gene_737	82	167	377
gene_738	1246	2081	4770
gene_739	53	92	189
gene_740	22	52	75
gene_741	62	127	270
gene_742	4	13	19
gene_743	115	281	567
gene_744	3730	6326	13811
gene_745	0	5	8
gene_746	26	27	68
gene_747	3916	7047	15484
gene_748	6312	11195	23857
gene_749	0	1	0
gene_750	10	21	38
gene_751	37	53	144
gene_752	979	2018	3964
gene_753	40	132	166
gene_755	832	240	295
gene_756	155	354	675
gene_757	2540	5008	9603
gene_758	593	1227	2239
gene_760	5654	9823	25734
gene_761	1818	3447	7626
gene_762	95	313	456
gene_763	2	0	5
gene_764	1172	1533	4028
gene_765	3775	5706	13399
gene_766	0	2	8
gene_767	549	1126	2333
gene_769	5	14	22
gene_770	1981	3974	8620
gene_771	1	10	15
gene_772	0	1	1
gene_773	76	157	271
gene_774	2	10	3
gene_776	167	357	700
gene_777	0	0	0
gene_778	0	1	7
gene_779	12	31	43
gene_780	2042	3732	8633
gene_781	0	1	0
gene_782	47	117	279
gene_783	0	0	0
gene_787	2	6	20
gene_788	427	696	1509
gene_789	7	19	29
gene_790	99	164	422
gene_791	43	74	190
gene_792	924	1254	3519
gene_794	3	10	37
gene_795	0	1	5
gene_796	43	81	193
gene_797	264	740	1282
gene_798	211	492	954
gene_799	158	527	819
gene_800	132	380	529
gene_802	3427	6671	12691
gene_803	656	1554	2770
gene_804	21	48	89
gene_805	1565	3245	6958
gene_806	589	872	2121
gene_807	0	0	1
gene_808	7	9	3
gene_809	2072	3972	8262
gene_810	203	382	736
gene_811	262	572	917
gene_812	17	26	48
gene_813	466	1240	2816
gene_814	676	1154	2787
gene_816	1	0	0
gene_817	213	501	958
gene_818	2	5	8
gene_819	0	0	0
gene_820	366	598	1688
gene_821	0	1	1
gene_822	694	1259	2645
gene_823	739	1227	2719
gene_824	2188	3935	8723
gene_825	596	1204	3280
gene_826	244	205	760
gene_827	4	3	16
gene_828	539	1210	2827
gene_829	175	341	640
gene_830	52	97	249
gene_831	787	1374	2877
gene_832	0	1	0
gene_839	64	129	333
gene_840	226	590	1413
gene_841	543	1502	2720
gene_842	275	559	1325
gene_843	18	27	79
